,Name,name,typee,sector,country,joinnned_on
11649,,D&A Industries Company Limited,Small or Medium-sized Enterprise,Chemicals,China,2019-12-31
11650,,Technical Control Limited,Small or Medium-sized Enterprise,Chemicals,China,2019-12-31
11651,,Global Energy Migration Pty Ltd,Small or Medium-sized Enterprise,Alternative Energy,South Africa,2019-12-31
11652,,Netaş,Company,Software & Computer Services,Türkiye,2019-12-31
11653,,Anadolu Anonim Türk Sigorta Şirketi (Anadolu Sigorta),Company,Nonlife Insurance,Türkiye,2019-12-31
11654,,"Hunan Haili Chemical Industry Co., Ltd",Small or Medium-sized Enterprise,Chemicals,China,2019-12-31
11655,,Konica Minolta Business Solutions Australia Pty Ltd,Company,Technology Hardware & Equipment,Australia,2019-12-31
11656,,Nordgold,Company,Industrial metals and mining,Russian Federation,2019-12-31
11657,,DP Caparol Ukraina,Small or Medium-sized Enterprise,Chemicals,Ukraine,2019-12-31
11658,,Akis Gyo AŞ / Akis Reit,Company,Real Estate Investment Trusts,Türkiye,2019-12-31
11659,,"Dongguan New Island Printing Co., Ltd.",Company,Industrial Support Services,China,2019-12-31
11660,,"Tunisian Union of Industry Trade and Handicrafts, UTICA",Business Association Local,Not Applicable,Tunisia,2019-12-31
11661,,Centro Universitario Dr. Leao Sampaio,Company,Diversified,Brazil,2019-12-30
11662,,MECA,Small or Medium-sized Enterprise,Diversified,Brazil,2019-12-30
11663,,Ingenieria Tecnologia y Desarrollo Industria Inteligente S.A. DE C.V.,Small or Medium-sized Enterprise,Industrial Support Services,Mexico,2019-12-30
11664,,CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,Company,Industrial Support Services,Brazil,2019-12-30
11665,,FUNDACION SIENEVA,Foundation,Not Applicable,Spain,2019-12-30
11666,,"JAZ ZUBIAURRE, S.A.",Small or Medium-sized Enterprise,General Industrials,Spain,2019-12-30
11667,,BrD Brasil Distressed Consultoria Empresarial S.A.,Small or Medium-sized Enterprise,Financial Services,Brazil,2019-12-30
11668,,"Legal Advisory & Consultancy Services 4U, S.L. (LAVER)",Small or Medium-sized Enterprise,Diversified,Spain,2019-12-30
11669,,"GRUPO PROFUEGO SEGURIDAD, S.L.",Small or Medium-sized Enterprise,Industrial Support Services,Spain,2019-12-30
11670,,IntegraRSE,Small or Medium-sized Enterprise,Diversified,Mexico,2019-12-30
11671,,EndeF Engineering,Small or Medium-sized Enterprise,Alternative Energy,Spain,2019-12-30
11672,,MEDGON CONTRATAS Y SERVICIOS SL,Small or Medium-sized Enterprise,Construction & Materials,Spain,2019-12-30
11673,,"Trefinos, S.L.",Small or Medium-sized Enterprise,Industrial materials,Spain,2019-12-30
11674,,Baker McKenzie Mexico,Company,Industrial Support Services,Mexico,2019-12-30
11675,,Confederación de la Pequeña y Mediana Empresa Aragonesa - CEPYME Aragón,Business Association Local,Not Applicable,Spain,2019-12-30
11676,,Walmart Mexico y Centroamerica,Company,Retailers,Mexico,2019-12-30
11677,,"Aquara, Gestion Ciclo Integral de Aguas de Aragon, S.A.U.",Small or Medium-sized Enterprise,"Gas, Water & Multiutilities",Spain,2019-12-30
11678,,AGROPONIENTE S.A.,Company,Food Producers,Spain,2019-12-30
11679,,JUARISTI Boring & Milling Machines SLU,Small or Medium-sized Enterprise,Diversified,Spain,2019-12-30
11680,,"Solunion Seguros, Compania Internacional de Seguros y Reaseguros, S.A",Company,Nonlife Insurance,Spain,2019-12-30
11681,,"PLATING BRAP, S.A.",Small or Medium-sized Enterprise,General Industrials,Spain,2019-12-30
11682,,Abac Capital S.L.,Small or Medium-sized Enterprise,Financial Services,Spain,2019-12-30
11683,,Agensi Pekerjaan IRC Sdn Bhd,Small or Medium-sized Enterprise,Industrial Support Services,Malaysia,2019-12-24
11684,,Mitoko Kawachi Corporation,Small or Medium-sized Enterprise,Retailers,Japan,2019-12-23
11685,,Drukarnia Interak - Interak Printing House,Company,General Industrials,Poland,2019-12-20
11686,,China Alliance of Social Value Investment,NGO Local,Not Applicable,China,2019-12-20
11687,,ICF,Company,Industrial Support Services,United States of America,2019-12-19
11688,,Whirlpool Corporation,Company,Household Goods & Home Construction,United States of America,2019-12-19
11689,,Glencore Investment Pty Limited,Company,Financial Services,Australia,2019-12-19
11690,,ALL'IN CONSULTING,Small or Medium-sized Enterprise,"Oil, gas, & coal",France,2019-12-18
11691,,Energiråd AS,Small or Medium-sized Enterprise,Diversified,Norway,2019-12-18
11692,,POP FACTORY,Small or Medium-sized Enterprise,Industrial Support Services,Belgium,2019-12-18
11693,,Orkuveita Reykjavíkur (Reykjavik Energy),Company,Electricity,Iceland,2019-12-18
11694,,PRAD SASU,Small or Medium-sized Enterprise,General Industrials,France,2019-12-18
11695,,CMA CGM,Company,Industrial Transportation,France,2019-12-18
11696,,Crayon AB,Small or Medium-sized Enterprise,Software & Computer Services,Sweden,2019-12-18
11697,,Louis Poulsen A/S,Company,Electronic & Electrical Equipment,Denmark,2019-12-18
