,Name,name,typee,sector,country,joinnned_on
4880,,Arbor Consulting,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4881,,Adapta Pesquisa & Desenvolvimento Ltda.,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4882,,"Libertas Instituto Internacional de Educação, Cultura e Meio Ambiente",Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4883,,PROACTIVE ENGENHARIA CONSULTIVA SS LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4884,,Safe Drinking Water For All - SDW,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Brazil,2022-02-04
4885,,Gente Agente Mediação e Soluções Colaborativas,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4886,,Cobre Fácil Tecnologia em Coberturas Eireli,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Brazil,2022-02-04
4887,,NEOTEC - SOLUCOES E SUSTENTABILIDADE LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4888,,Lab Griô,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4889,,Pangeia,Small or Medium-sized Enterprise,Retailers,Brazil,2022-02-04
4890,,Numerik,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4891,,"CARVALHO, REZENDE E SOUZA ADVOGADOS ASSOCIADOS",Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4892,,IRIS,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4893,,LABCOMEX,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4894,,PL SMART CITY,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4895,,ABES - Associação Brasileira de Empresas de Software,Business Association Global,Not Applicable,Brazil,2022-02-04
4896,,Phare Global Markets,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4897,,Flori Tech,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4898,,Seravalli Consulting,Labour Local,Not Applicable,Brazil,2022-02-04
4899,,TTN Conhece-te,Small or Medium-sized Enterprise,Media,Brazil,2022-02-04
4900,,Instituto GEA Ética e Meio Ambiente,NGO Local,Not Applicable,Brazil,2022-02-04
4901,,FUTURAS RELAÇÕES SUSTENTÁVEIS LTDA ME,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4902,,Impact Hub Curitiba,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4903,,Silla Motta,Small or Medium-sized Enterprise,Alternative Energy,Brazil,2022-02-04
4904,,Instituto Desiderata,NGO Local,Not Applicable,Brazil,2022-02-04
4905,,BiO3 meio ambiente e sustentabilidade,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4906,,Tree Consultoria e Educação LTDA.,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4907,,Habitudes,Small or Medium-sized Enterprise,"Oil, gas, & coal",Colombia,2022-02-04
4908,,B4PEOPLE CULTURA INCLUSIVA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4909,,Gestión ambiental mas ingeniería SAS,Small or Medium-sized Enterprise,Diversified,Colombia,2022-02-04
4910,,Todos - Analistas de Negócios e Projetos,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4911,,Fusion Latam Colombia,Small or Medium-sized Enterprise,Alternative Energy,Colombia,2022-02-04
4912,,Blanchet Advogados,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4913,,Nuvem Ambiental,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4914,,Oriente-se Produções Ltda.,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4915,,QUIMEX INDUSTRIA E COMERCIO DE PRODUTOS E LIGAS LTDA,Small or Medium-sized Enterprise,Chemicals,Brazil,2022-02-04
4916,,EnGuia,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2022-02-04
4917,,Mulheres Connectadas,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4918,,Raupp Moreira Advogados,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4919,,VIRTU AMBIENTAL SOCIEDADE UNIPESSOAL LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4920,,DOUTOR ECO PLANET GESTÃO AMBIENTAL,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4921,,Orolab,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4922,,Nilza da Silva & Cia Ltda ME,Small or Medium-sized Enterprise,Medical equipment and services; Health care providers,Brazil,2022-02-04
4923,,Vertile Soluções Empresariais Ltda,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4924,,The 2nd Hand,Small or Medium-sized Enterprise,Retailers,Brazil,2022-02-04
4925,,Condor Connect (Desbravamente Treinamento Ltda.),Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4926,,Tema Tecnologia em Meio Ambiente Ltda,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2022-02-04
4927,,Ratio Inteligência em Sustentabilidade,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4928,,MARTIN COLOMBIA SAS,Public Sector Organization,Not Applicable,Colombia,2022-02-04
4929,,YoungShip Colombia,NGO Global,Not Applicable,Colombia,2022-02-04
4930,,TUNACONS,NGO Local,Not Applicable,Ecuador,2022-02-04
4931,,Cia Cata-Ventos de Cultura,Business Association Local,Not Applicable,Brazil,2022-02-04
4932,,Action Gestão Empresarial Ltda.,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-04
4933,,AGSAFE SOLUÇÕES TECNOLÓGICAS LTDA,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2022-02-04
4934,,Hotelatelier,Company,Travel & Leisure,Spain,2022-02-04
4935,,AERSA,Small or Medium-sized Enterprise,Software & Computer Services,Mexico,2022-02-04
4936,,MERCADOS CENTRALES DE ABASTECIMIENTO DE ALICANTE; S.A.,Small or Medium-sized Enterprise,Real Estate Investment & Services development,Spain,2022-02-04
4937,,Pinturas Blatem SL,Small or Medium-sized Enterprise,General Industrials,Spain,2022-02-04
4938,,Railsider Mediterráneo S.A.,Small or Medium-sized Enterprise,Industrial Transportation,Spain,2022-02-04
4939,,JM Plaseges Agua SL,Small or Medium-sized Enterprise,"Gas, Water & Multiutilities",Spain,2022-02-04
4940,,Innovación y Sostenibilidad Baena SLU,Small or Medium-sized Enterprise,"Gas, Water & Multiutilities",Spain,2022-02-04
4941,,CIRCULO ECUESTRE,Business Association Local,Not Applicable,Spain,2022-02-04
4942,,Detectives Privados MGM SL,Small or Medium-sized Enterprise,Diversified,Spain,2022-02-04
4943,,PoliEmpresarial,Academic,Not Applicable,Colombia,2022-02-03
4944,,BARDI ADVOGADOS,Small or Medium-sized Enterprise,Diversified,Brazil,2022-02-02
4945,,Fundación Mujeres de éxito,Foundation,Not Applicable,Colombia,2022-02-02
4946,,CARDINAL INNOVATION SAS,Small or Medium-sized Enterprise,Diversified,Colombia,2022-02-02
4947,,FUNDACION GENERACIÓN Y VIDA,Foundation,Not Applicable,Colombia,2022-02-02
4948,,Turuncu Association,NGO Local,Not Applicable,Türkiye,2022-01-31
4949,,iamtheCODE,NGO Global,Not Applicable,United Kingdom,2022-01-31
4950,,Red Latitude,Small or Medium-sized Enterprise,Diversified,Saudi Arabia,2022-01-31
4951,,Associació Ventijol,Public Sector Organization,Not Applicable,Spain,2022-01-31
4952,,JOBBE ETT EVOLUS SL,Small or Medium-sized Enterprise,Diversified,Spain,2022-01-31
4953,,Santa&Cole S.L,Small or Medium-sized Enterprise,Diversified,Spain,2022-01-31
4954,,"INSTITUTO DE ESTUDIOS DEL ATLÁNTICO, SL",Academic,Not Applicable,Spain,2022-01-31
4955,,"CTAIMA Outsourcing & Consulting, S.L.",Small or Medium-sized Enterprise,Software & Computer Services,Spain,2022-01-31
4956,,"LLEIDANETWORKS SERVEIS TELEMATICS, S.A.",Small or Medium-sized Enterprise,Software & Computer Services,Spain,2022-01-31
4957,,KNIPEX-Werk C. Gustav Putsch KG,Company,General Industrials,Germany,2022-01-31
4958,,Immofinanz,Company,Real Estate Investment & Services development,Austria,2022-01-31
4959,,AULAFORMACION BUSINESS SCHOOL,Small or Medium-sized Enterprise,Diversified,Spain,2022-01-31
4960,,LD FACILITY,Company,Diversified,Spain,2022-01-31
4961,,Güldi Moden,Small or Medium-sized Enterprise,Diversified,Germany,2022-01-31
4962,,Sagardoy Abogados,Small or Medium-sized Enterprise,Diversified,Spain,2022-01-31
4963,,GRUPPO DE CECCO,Company,Food Producers,Italy,2022-01-31
4964,,SIRVA Worldwide Inc,Company,Diversified,United States of America,2022-01-31
4965,,Swiss Life Sciences Group,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,United Kingdom,2022-01-31
4966,,Code 9 Security Ltd,Small or Medium-sized Enterprise,Diversified,United Kingdom,2022-01-31
4967,,London Stock Exchange Group,Company,Diversified,United Kingdom,2022-01-31
4968,,Tax Academy Prof. Dr. Wolfgang Kessler GmbH,Small or Medium-sized Enterprise,Diversified,Germany,2022-01-31
4969,,Catena Media,Company,Diversified,Malta,2022-01-31
4970,,Burness Paull LLP,Company,Diversified,United Kingdom,2022-01-31
4971,,"Integra Tecnología y Comunicación de Canarias, SL",Small or Medium-sized Enterprise,Software & Computer Services,Spain,2022-01-31
4972,,Bio Litoral de Níjar,Small or Medium-sized Enterprise,Food Producers,Spain,2022-01-31
4973,,ATERKO YAPI DANIŞMANLIK SAN. VE TİC. A.Ş.,Small or Medium-sized Enterprise,General Industrials,Türkiye,2022-01-31
4974,,Mercator-CG d.o.o Podgorica,Company,Retailers,Montenegro,2022-01-31
4975,,WHITE ROSE CUTTING FORMES LTD,Small or Medium-sized Enterprise,General Industrials,United Kingdom,2022-01-31
4976,,Eppendorf SE,Company,Medical equipment and services; Health care providers,Germany,2022-01-31
4977,,EPI Group Holdings Ltd,Small or Medium-sized Enterprise,Alternative Energy,United Kingdom,2022-01-31
4978,,Funding Circle Holdings plc,Company,Finance and credit services,United Kingdom,2022-01-31
4979,,Bedriftskompetanse AS,Small or Medium-sized Enterprise,Diversified,Norway,2022-01-31
4980,,Port of Roenne A/S,Small or Medium-sized Enterprise,Industrial Support Services,Denmark,2022-01-31
4981,,CCC SA,Company,Retailers,Poland,2022-01-31
4982,,Siren Communication,Small or Medium-sized Enterprise,Media,United Kingdom,2022-01-31
4983,,Reeder Technology Industry and Trade Joint Stock Company,Company,Technology Hardware & Equipment,Türkiye,2022-01-31
4984,,Stella Polaris AS,Small or Medium-sized Enterprise,Food Producers,Norway,2022-01-31
4985,,Federación Provincial de Empresas del Metal y Nuevas Tecnologías de Santa Cruz de Tenerife (FEMETE),Business Association Local,Not Applicable,Spain,2022-01-31
4986,,Tekna Holding AS / Tekna Plasma Systems Inc.,Small or Medium-sized Enterprise,General Industrials,Canada,2022-01-31
4987,,CKH IOD UK Limited,Small or Medium-sized Enterprise,Telecommunications equipment; telecommunications service providers,United Kingdom,2022-01-31
4988,,Easee,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Norway,2022-01-31
4989,,Canada Goose,Company,Personal Goods,Canada,2022-01-31
4990,,Visiativ,Company,Software & Computer Services,France,2022-01-31
4991,,KERN-LIEBERS Group of Companies,Company,Automobiles & Parts,Germany,2022-01-31
4992,,Olly Services Srl,Small or Medium-sized Enterprise,Industrial Support Services,Italy,2022-01-31
4993,,Arla Plast AB,Small or Medium-sized Enterprise,General Industrials,Sweden,2022-01-31
4994,,Simarco International Limited,Company,Industrial Transportation,United Kingdom,2022-01-31
4995,,Stockmeier France,Company,Diversified,France,2022-01-31
4996,,Carepa AB,Small or Medium-sized Enterprise,Diversified,Sweden,2022-01-31
4997,,"VALORACIONES MEDITERRÁNEO, S.A.",Small or Medium-sized Enterprise,Real Estate Investment & Services development,Spain,2022-01-31
4998,,NovaKamp,Small or Medium-sized Enterprise,Industrial Engineering,France,2022-01-31
4999,,The Glow Paradise,Small or Medium-sized Enterprise,Food Producers,Lebanon,2022-01-31
5000,,NoA - The North Alliance,Company,Diversified,Norway,2022-01-31
5001,,Defined Impact,Small or Medium-sized Enterprise,Diversified,United States of America,2022-01-31
5002,,Bulk Infrastructure Group AS,Small or Medium-sized Enterprise,Diversified,Norway,2022-01-31
5003,,Sayenko Kharenko,Small or Medium-sized Enterprise,Diversified,Ukraine,2022-01-31
5004,,MultiPlus card,Small or Medium-sized Enterprise,Retailers,Croatia,2022-01-31
5005,,COVERGUARD,Small or Medium-sized Enterprise,Diversified,France,2022-01-31
5006,,CEZ Group,Company,Electricity,Czechia,2022-01-31
5007,,HEXALEAN,Small or Medium-sized Enterprise,General Industrials,France,2022-01-31
5008,,ICT PFIXERS CO LTD,Small or Medium-sized Enterprise,Software & Computer Services,"Tanzania, United Republic of",2022-01-28
5009,,Standard Media Group,Company,"Oil, gas, & coal",Kenya,2022-01-28
5010,,MedSource Group Limited,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,Kenya,2022-01-28
5011,,Consortium du jambon de Bayonne,Business Association Local,Not Applicable,France,2022-01-25
5012,,VERLINGUE,Company,Life Insurance,France,2022-01-25
5013,,UNIVERSIDAD CATÓLICA SANTIAGO DE GUAYAQUIL,Academic,Not Applicable,Ecuador,2022-01-25
5014,,Falabella.com SpA,Company,Retailers,Chile,2022-01-25
5015,,Burda Media Ukraine,Small or Medium-sized Enterprise,Media,Ukraine,2022-01-25
5016,,GS Services limited liability company,Small or Medium-sized Enterprise,Software & Computer Services,Poland,2022-01-25
5017,,GreenGood Eco-tech FZCO,Small or Medium-sized Enterprise,Diversified,United Arab Emirates,2022-01-25
5018,,DELTA STAR ENERJİ VE MADENCİLİK SANAYİ VE TİCARET A.Ş,Small or Medium-sized Enterprise,Industrial metals and mining,Türkiye,2022-01-25
5019,,TEAM REACTIVATE LLC,Small or Medium-sized Enterprise,Diversified,United Arab Emirates,2022-01-25
5020,,efi automotive,Company,Automobiles & Parts,France,2022-01-25
5021,,"ShanDong TianYuan Chemical Co., Ltd.",Small or Medium-sized Enterprise,Chemicals,China,2022-01-24
5022,,HM Best Healthcare,Small or Medium-sized Enterprise,Medical equipment and services; Health care providers,China,2022-01-24
5023,,Landmark Group,Company,Retailers,United Arab Emirates,2022-01-24
5024,,Venture Executive Partners Limited,Small or Medium-sized Enterprise,Diversified,China,2022-01-24
5025,,"Chongqing Xiangfu Electromechanical Technology Service Co., Ltd",Small or Medium-sized Enterprise,Industrial Support Services,China,2022-01-24
5026,,"Huiyuan Printing & Packaging Technology (Tianjin) Co., Ltd.",Company,Industrial materials,China,2022-01-24
5027,,SHANGHAI EXANDS INFORMATION TECHNOLOGY CO LTD,Small or Medium-sized Enterprise,Software & Computer Services,China,2022-01-24
5028,,Kelly Tillage Pty Ltd,Small or Medium-sized Enterprise,General Industrials,Australia,2022-01-24
5029,,Hastings Technology Metals Limited,Small or Medium-sized Enterprise,Industrial metals and mining,Australia,2022-01-24
5030,,"Shenzhen Minda Technology Co., Ltd.",Company,Diversified,China,2022-01-24
5031,,Amana Bank PLC,Company,Banks,Sri Lanka,2022-01-24
5032,,"Zhenjiang Ouke Biological Technology Co., Ltd",Small or Medium-sized Enterprise,Chemicals,China,2022-01-24
5033,,"Shanghai Dongyuan Construction & Renovation Co., Ltd.",Small or Medium-sized Enterprise,Construction & Materials,China,2022-01-24
5034,,Resplendent Ceylon,Company,Travel & Leisure,Sri Lanka,2022-01-24
5035,,SAYA GRUP İÇ DIŞ TİCARET VE SANAYİ A.Ş.,Company,Diversified,Türkiye,2022-01-24
5036,,Saxum,Small or Medium-sized Enterprise,Diversified,United States of America,2022-01-24
5037,,"Shenzhen Jimi IoT Co., Ltd.",Company,General Industrials,China,2022-01-24
5038,,"Anchor Products, LLC",Small or Medium-sized Enterprise,Construction & Materials,United States of America,2022-01-24
5039,,Saladin Media,Small or Medium-sized Enterprise,Media,Uganda,2022-01-24
5040,,Yunnan Ningbao Carbon Technology Company (NB Carbon) 云南宁宝碳汇科技有限公司,Small or Medium-sized Enterprise,Diversified,China,2022-01-24
5041,,Büyük Şefler Gıda San. Tic. A.Ş.,Company,Food Producers,Türkiye,2022-01-24
5042,,"Finn Partners, Inc.",Company,Media,United States of America,2022-01-24
5043,,Changzhou Compass Machinery & Equipment co Ltd,Small or Medium-sized Enterprise,General Industrials,China,2022-01-24
5044,,Iskandar Investment Berhad,Small or Medium-sized Enterprise,Diversified,Malaysia,2022-01-24
5045,,Hepsiburada,Company,Diversified,Türkiye,2022-01-24
5046,,ADVANCIA TELESERVICES,Company,Diversified,Tunisia,2022-01-24
5047,,Urth Inc.,Small or Medium-sized Enterprise,Software & Computer Services,United States of America,2022-01-24
5048,,"EnviroBusiness, Inc. dba EBI Consulting",Company,Diversified,United States of America,2022-01-24
5049,,US LBM Holdings,Company,Construction & Materials,United States of America,2022-01-24
5050,,"Speee, Inc",Company,Software & Computer Services,Japan,2022-01-24
5051,,Gold Road Resources Limited,Small or Medium-sized Enterprise,Industrial metals and mining,Australia,2022-01-24
5052,,"Rent the Runway, Inc.",Company,Retailers,United States of America,2022-01-24
5053,,RAVENTOS CODORNIU,Company,Beverages,Spain,2022-01-20
5054,,Ecoinver Export S.L,Small or Medium-sized Enterprise,Food Producers,Spain,2022-01-20
5055,,"COMERCIAL QUIMICA MASSO, S.A.",Company,Chemicals,Spain,2022-01-20
5056,,GS Inima Environment SA,Company,"Gas, Water & Multiutilities",Spain,2022-01-20
5057,,"EUROCAJA RURAL, S.C.C.",Company,Banks,Spain,2022-01-20
5058,,Ove Arup and Partners S.A.U.,Small or Medium-sized Enterprise,Diversified,Spain,2022-01-20
5059,,Empresas Iansa,Company,Food Producers,Chile,2022-01-19
5060,,SMU S.A.,Company,Retailers,Chile,2022-01-19
5061,,SICOBRA/SICONTAC CENTER S.A,Company,Financial Services,Ecuador,2022-01-19
5062,,Banco de Machala S.A.,Company,Banks,Ecuador,2022-01-19
5063,,Asiservy S.A.,Company,Food Producers,Ecuador,2022-01-19
5064,,North American Meat Institute,Business Association Local,Not Applicable,United States of America,2022-01-19
5065,,Danash Contracting & Trading Co. s.a.r.l.,Company,Diversified,Lebanon,2022-01-18
5066,,Nippon Sanso Holdings Corporation,Company,Chemicals,Japan,2022-01-18
5067,,Techno Ryowa Ltd.,Company,Construction & Materials,Japan,2022-01-18
5068,,"ASKA Pharmaceutical Holdings Co., Ltd.",Company,Pharmaceuticals & Biotechnology,Japan,2022-01-18
5069,,"Heiwa Real Estate Co., Ltd.",Small or Medium-sized Enterprise,Real Estate Investment & Services development,Japan,2022-01-18
5070,,American Hellenic Hull,Small or Medium-sized Enterprise,Nonlife Insurance,Greece,2022-01-17
5071,,Xetova Limited,Small or Medium-sized Enterprise,Software & Computer Services,Kenya,2022-01-17
5072,,KYRANIS TRAVEL IMPRESSIVE TUNISIA,Small or Medium-sized Enterprise,Travel & Leisure,Tunisia,2022-01-17
5073,,ÇEMTAŞ Çelik Makine Sanayi ve Ticaret A.Ş.,Company,Diversified,Türkiye,2022-01-17
5074,,Konzum plus d.o.o.,Company,Retailers,Croatia,2022-01-17
5075,,A007 plus d.o.o.,Small or Medium-sized Enterprise,Retailers,Croatia,2022-01-17
5076,,"SynTao Co., Ltd.",Small or Medium-sized Enterprise,Industrial Support Services,China,2022-01-14
5077,,SENTRAL College Penang,Academic,Not Applicable,Malaysia,2022-01-14
5078,,Sociedad de Desarrollo Tecnológico - USACH,Company,Diversified,Chile,2022-01-14
5079,,AIOS SH,Small or Medium-sized Enterprise,Software & Computer Services,France,2022-01-14
5080,,Snapp Packaging (M) Sdn Bhd,Small or Medium-sized Enterprise,Diversified,Malaysia,2022-01-14
5081,,"BFD Production Center Co., Ltd. 苏州祐新装饰家具有限公司",Small or Medium-sized Enterprise,Diversified,China,2022-01-14
5082,,Just Unique Consultation Sdn Bhd,Small or Medium-sized Enterprise,Industrial Support Services,Malaysia,2022-01-14
5083,,"Beijing HEYI Advertising Co., Ltd.",Small or Medium-sized Enterprise,Industrial Support Services,China,2022-01-14
5084,,Loomis AB,Company,Industrial Support Services,Sweden,2022-01-14
5085,,Clay Solutions B.V.,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Netherlands,2022-01-14
5086,,Prow Capital,Small or Medium-sized Enterprise,Financial Services,Netherlands,2022-01-14
5087,,PLATON LIFE LTD,Small or Medium-sized Enterprise,Financial Services,United Kingdom,2022-01-14
5088,,Make The Change Pte Ltd,Small or Medium-sized Enterprise,Diversified,Singapore,2022-01-14
5089,,MCFT,Small or Medium-sized Enterprise,Industrial Support Services,United Kingdom,2022-01-14
5090,,4impact capital,Small or Medium-sized Enterprise,Investment banking and brokerage services,Netherlands,2022-01-14
5091,,"Shanghai Hengze Printing Co., Ltd.",Small or Medium-sized Enterprise,General Industrials,China,2022-01-14
5092,,WEIBELWEIBEL AG,Small or Medium-sized Enterprise,Household Goods & Home Construction,Switzerland,2022-01-14
5093,,Dansk Ejerkapital Forvaltning ApS,Small or Medium-sized Enterprise,Investment banking and brokerage services,Denmark,2022-01-14
5094,,ID'EES 21,Company,Diversified,France,2022-01-14
5095,,LOCASER Intérim,Small or Medium-sized Enterprise,Industrial Support Services,France,2022-01-14
5096,,Capacitación USACH Compañía Ltda.,Small or Medium-sized Enterprise,Diversified,Chile,2022-01-14
5097,,Amedia,Company,Media,Norway,2022-01-14
5098,,East Capital Group,Small or Medium-sized Enterprise,Finance and credit services,Sweden,2022-01-14
5099,,GK Partners Limited (trading as GK Partners),Small or Medium-sized Enterprise,Diversified,United Kingdom,2022-01-14
5100,,Vergnet Sa,Small or Medium-sized Enterprise,Alternative Energy,France,2022-01-14
5101,,"Open House Group Co., Ltd.",Company,Real Estate Investment & Services development,Japan,2022-01-14
5102,,EcoTree,Small or Medium-sized Enterprise,Industrial materials,France,2022-01-14
5103,,Shurgard Self Storage SA,Company,Real Estate Investment & Services development,Luxembourg,2022-01-14
5104,,Sangetsu Corporation,Company,Construction & Materials,Japan,2022-01-14
5105,,Aicura Limited,Small or Medium-sized Enterprise,Software & Computer Services,United Kingdom,2022-01-14
5106,,Banco Falabella,Company,Diversified,Chile,2022-01-14
5107,,Goldenbee Sustainable Brand Communication Ltd.,Small or Medium-sized Enterprise,Diversified,China,2022-01-14
5108,,NPA NORDISKT PAPPER AB,Small or Medium-sized Enterprise,Industrial materials,Sweden,2022-01-14
5109,,APCOA PARKING Holdings GmbH,Company,Diversified,Germany,2022-01-14
5110,,CEP,Small or Medium-sized Enterprise,General Industrials,France,2022-01-14
5111,,Key Performance Consulting,Small or Medium-sized Enterprise,Software & Computer Services,France,2022-01-14
5112,,CRISTAL HYGIENE,Small or Medium-sized Enterprise,Retailers,France,2022-01-14
5113,,Alfix A/S,Small or Medium-sized Enterprise,Construction & Materials,Denmark,2022-01-14
5114,,Agence Grain Blanc,Small or Medium-sized Enterprise,Diversified,France,2022-01-14
5115,,OE Group,Small or Medium-sized Enterprise,Diversified,Switzerland,2022-01-14
5116,,EPL Limited,Company,General Industrials,India,2022-01-14
5117,,GENERATION,Company,Nonlife Insurance,France,2022-01-14
5118,,Somboon Advance Technology Public Company Limited,Company,Automobiles & Parts,Thailand,2022-01-14
5119,,ACTRADIS,Small or Medium-sized Enterprise,Software & Computer Services,France,2022-01-14
5120,,CBFM - Coldwell Banker France & Monaco,Small or Medium-sized Enterprise,Real Estate Investment & Services development,France,2022-01-14
5121,,COUGNAUD,Company,General Industrials,France,2022-01-14
5122,,ManpowerGroup Norway,Company,Diversified,Norway,2022-01-14
5123,,UBI TRANSPORTS SAS,Small or Medium-sized Enterprise,Software & Computer Services,France,2022-01-14
5124,,Nude.,Small or Medium-sized Enterprise,Food Producers,Brazil,2022-01-13
5125,,SIGAMOS!,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5126,,Envolve Bioembalagens,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5127,,SEED Consultoria,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5128,,UNA APOIO E SOLUCOES LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5129,,SOCIEDAD ESPAÑOLA DE FARMACIA HOSPITALARIA,NGO Local,Not Applicable,Spain,2022-01-13
5130,,The Good Concierge,Small or Medium-sized Enterprise,Industrial Support Services,Spain,2022-01-13
5131,,Catedra SAS,Small or Medium-sized Enterprise,Software & Computer Services,Colombia,2022-01-13
5132,,GAZIN INDUSTRIA E COMERCIA DE MOVEIS E ELETRO LTDA,Company,Retailers,Brazil,2022-01-13
5133,,"Trabajos Forestales y de Jardineria BUHERSA, S.L.",Small or Medium-sized Enterprise,Industrial materials,Spain,2022-01-13
5134,,Lightning Energy SL,Small or Medium-sized Enterprise,Electricity,Spain,2022-01-13
5135,,GLOBAL Consultoría Turística SL,Small or Medium-sized Enterprise,Travel & Leisure,Spain,2022-01-13
5136,,I Love Pixel,Small or Medium-sized Enterprise,Media,Brazil,2022-01-13
5137,,Amachains,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2022-01-13
5138,,Jardín Exótico,Small or Medium-sized Enterprise,Diversified,Bolivia,2022-01-13
5139,,INASUS SL,Small or Medium-sized Enterprise,Construction & Materials,Spain,2022-01-13
5140,,Soldí Ambiental,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5141,,Grupo Tauá de Hotéis,Company,Travel & Leisure,Brazil,2022-01-13
5142,,Casa Livre,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5143,,Radiotelevisión Canaria,Public Sector Organization,Not Applicable,Spain,2022-01-13
5144,,ISKAN Architectural & Contracting Co. Ltd.,Small or Medium-sized Enterprise,Construction & Materials,Sudan,2022-01-13
5145,,FERIA DE ZARAGOZA,Public Sector Organization,Not Applicable,Spain,2022-01-13
5146,,CPS Corporativo Integrales de Recursos SL,Company,Technology Hardware & Equipment,Spain,2022-01-13
5147,,Pinkmoney,Small or Medium-sized Enterprise,Banks,Brazil,2022-01-13
5148,,COLETIVO CONSULTORIA E GESTAO DE PROJETOS SOCIOCULTURAIS LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2022-01-13
5149,,Apolo Renováveis Participações Ltda,Small or Medium-sized Enterprise,Alternative Energy,Brazil,2022-01-13
5150,,ANTA SMART SOLUTIONS AND ENGINEERING GROUP S.L. (GRUPO SEG),Small or Medium-sized Enterprise,Industrial Engineering,Spain,2022-01-13
5151,,Infosimples Processamento de Dados Ltda,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2022-01-13
5152,,"Corticeira Amorim, S.G.P.S, S.A.",Company,Diversified,Portugal,2022-01-13
5153,,NFS BRASIL,Small or Medium-sized Enterprise,Medical equipment and services; Health care providers,Brazil,2022-01-13
5154,,"Holaluz (HOLALUZ-CLIDOM, SA)",Company,Electricity,Spain,2022-01-13
5155,,BANCO FASSIL SA,Company,Banks,Bolivia,2022-01-13
5156,,INDUATENAS S.A.,Small or Medium-sized Enterprise,Construction & Materials,Ecuador,2022-01-13
5157,,FUNDACION PORFINSINDEUDAS S.A,Small or Medium-sized Enterprise,Financial Services,Ecuador,2022-01-13
5158,,Getnet Brasil,Company,Financial Services,Brazil,2022-01-13
5159,,Spektrum Management Group SL,Small or Medium-sized Enterprise,Aerospace & Defense,Spain,2022-01-13
5160,,Bank ABC Tunisie (Arab Banking Corporation),Small or Medium-sized Enterprise,Banks,Tunisia,2022-01-13
5161,,Energroup llc,Small or Medium-sized Enterprise,Alternative Energy,United Arab Emirates,2022-01-13
5162,,HLB Corporate Services (Mauritius) Ltd,Small or Medium-sized Enterprise,Diversified,Mauritius,2022-01-13
